VSO Amount,Days Until Unlock,Cummulative VSO Unlocks
16866662.0,0,16866662.0
1791664.0,18,18658326.0
1004165.0,19,19662491.0
1791664.0,48,21454155.0
983332.0,49,22437487.0
1791664.0,79,24229151.0
983332.0,80,25212483.0
1791664.0,110,27004147.0
983332.0,111,27987479.0
1791664.0,138,29779143.0
983332.0,139,30762475.0
1791664.0,169,32554139.0
983332.0,170,33537471.0
1791664.0,199,35329135.0
983332.0,200,36312467.0
1791664.0,230,38104131.0
4150006.0,231,42254137.0
416665.0,260,42670802.0
416665.0,291,43087467.0
416665.0,322,43504132.0
416665.0,352,43920797.0
