VSO Amount,Days Until Unlock
170833.0,352
170833.0,322
170833.0,291
170833.0,260
170833.0,230
170833.0,199
170833.0,169
170833.0,138
170833.0,110
170833.0,79
170833.0,48
170833.0,18
16666.0,352
16666.0,322
16666.0,291
16666.0,260
16666.0,230
16666.0,199
16666.0,169
16666.0,138
16666.0,110
16666.0,79
16666.0,48
16666.0,18
12500.0,352
12500.0,322
12500.0,291
12500.0,260
12500.0,230
12500.0,199
12500.0,169
12500.0,138
12500.0,110
12500.0,79
12500.0,48
12500.0,18
8333.0,352
8333.0,322
8333.0,291
8333.0,260
8333.0,230
8333.0,199
8333.0,169
8333.0,138
8333.0,110
8333.0,79
8333.0,48
8333.0,18
208333.0,352
208333.0,322
208333.0,291
208333.0,260
208333.0,230
208333.0,199
208333.0,169
208333.0,138
208333.0,110
208333.0,79
208333.0,48
208333.0,18
250000.0,230
250000.0,199
250000.0,169
250000.0,138
250000.0,110
250000.0,79
250000.0,48
250000.0,18
250000.0,0
250000.0,0
250000.0,0
250000.0,0
916666.0,230
916666.0,199
916666.0,169
916666.0,138
916666.0,110
916666.0,79
916666.0,48
916666.0,18
916666.0,0
916666.0,0
916666.0,0
916666.0,0
208333.0,230
208333.0,199
208333.0,169
208333.0,138
208333.0,110
208333.0,79
208333.0,48
208333.0,18
208333.0,0
208333.0,0
208333.0,0
208333.0,0
1.0,0
1.0,0
158333.0,231
158333.0,200
158333.0,170
158333.0,139
158333.0,111
158333.0,80
158333.0,49
158333.0,19
208333.0,0
208333.0,0
208333.0,0
208333.0,0
3958338.0,231
791666.0,200
791666.0,170
791666.0,139
791666.0,111
791666.0,80
791666.0,49
791666.0,19
10400000.0,0
33335.0,231
33333.0,200
33333.0,170
33333.0,139
33333.0,111
33333.0,80
33333.0,49
33333.0,19
33333.0,0
33333.0,0
33333.0,0
33333.0,0
20833.0,19
